uf,ano,mes,segmento,consumo_mwh
RS,2022,12,residencial,941661.844
MS,2022,12,residencial,195666.67
MT,2022,12,residencial,318204.444
GO,2022,12,residencial,534479.757
DF,2022,12,residencial,212520.0
RO,2023,1,residencial,124348.227
AC,2023,1,residencial,47888.091
AM,2023,1,residencial,173506.0
RR,2023,1,residencial,53435.526
PA,2023,1,residencial,374702.947
AP,2023,1,residencial,43880.293
TO,2023,1,residencial,90864.406
MA,2023,1,residencial,342592.81
PI,2023,1,residencial,163917.801
CE,2023,1,residencial,445700.446
RN,2023,1,residencial,207768.0
PB,2023,1,residencial,216625.734
PE,2023,1,residencial,479570.0
AL,2023,1,residencial,158684.39
SE,2023,1,residencial,123020.167
BA,2023,1,residencial,667611.07
MG,2023,1,residencial,1130420.132
ES,2023,1,residencial,256167.908
RJ,2023,1,residencial,1075506.625
SP,2023,1,residencial,3643338.509
PR,2023,1,residencial,777570.06
SC,2023,1,residencial,647471.648
RS,2023,1,residencial,922863.026
MS,2023,1,residencial,196376.013
MT,2023,1,residencial,274378.103
GO,2023,1,residencial,485012.998
DF,2023,1,residencial,196414.0
RO,2023,2,residencial,116252.559
AC,2023,2,residencial,46468.06
AM,2023,2,residencial,162453.0
RR,2023,2,residencial,48995.94
PA,2023,2,residencial,356648.013
AP,2023,2,residencial,44105.191
TO,2023,2,residencial,89474.634
MA,2023,2,residencial,340165.08
PI,2023,2,residencial,157304.4
CE,2023,2,residencial,422360.565
RN,2023,2,residencial,204504.0
PB,2023,2,residencial,218030.613
PE,2023,2,residencial,482353.0
AL,2023,2,residencial,156364.719
SE,2023,2,residencial,119144.742
BA,2023,2,residencial,678190.349
MG,2023,2,residencial,1093891.006
ES,2023,2,residencial,288906.223
RJ,2023,2,residencial,1227858.312
SP,2023,2,residencial,3732004.359
PR,2023,2,residencial,776616.936
SC,2023,2,residencial,780004.936
RS,2023,2,residencial,1048480.404
MS,2023,2,residencial,198385.744
MT,2023,2,residencial,268681.91
GO,2023,2,residencial,479025.05
DF,2023,2,residencial,203512.0
RO,2023,3,residencial,135317.405
AC,2023,3,residencial,50191.605
AM,2023,3,residencial,176926.0
RR,2023,3,residencial,57339.576
PA,2023,3,residencial,383498.865
AP,2023,3,residencial,45844.173
TO,2023,3,residencial,99485.542
MA,2023,3,residencial,341224.684
PI,2023,3,residencial,165689.33
CE,2023,3,residencial,413645.618
RN,2023,3,residencial,210498.0
PB,2023,3,residencial,210372.077
PE,2023,3,residencial,517979.0
AL,2023,3,residencial,164670.499
SE,2023,3,residencial,128454.767
BA,2023,3,residencial,708949.698
MG,2023,3,residencial,1228742.625
ES,2023,3,residencial,319742.187
RJ,2023,3,residencial,1375670.837
SP,2023,3,residencial,3938577.198
PR,2023,3,residencial,766855.5
SC,2023,3,residencial,746570.255
RS,2023,3,residencial,990447.127
MS,2023,3,residencial,187615.402
MT,2023,3,residencial,299855.12
GO,2023,3,residencial,515799.434
DF,2023,3,residencial,219784.0
RO,2023,4,residencial,122831.888
AC,2023,4,residencial,46800.508
AM,2023,4,residencial,191433.0
RR,2023,4,residencial,55912.053
PA,2023,4,residencial,370757.809
AP,2023,4,residencial,48968.663
TO,2023,4,residencial,99677.348
MA,2023,4,residencial,337505.621
PI,2023,4,residencial,165959.797
CE,2023,4,residencial,430080.005
RN,2023,4,residencial,199875.0
PB,2023,4,residencial,216462.874
PE,2023,4,residencial,489181.0
AL,2023,4,residencial,163424.676
SE,2023,4,residencial,127150.392
BA,2023,4,residencial,665902.972
MG,2023,4,residencial,1165775.318
ES,2023,4,residencial,290824.595
